Name,Location,State(s),Counties,Type,Length,Uses
Yellow Rock,"Devil’s Den State Park, 15 miles south of Fayetville on U.S. Highway 71.",Arkansas,,['Backcountry'],2.00 Miles / 3.22 Km,['Pedestrian - Walking/Hiking/Running']
York,In Oakland's Leona Canyon.,California,Alameda,[],3.50 Miles / 5.63 Km,[]
Zim Smith Trail,Trail runs from Oak Street in the Village of Ballston Spa to Coons Crossing Road in the Town of Halfmoon,New York,Saratoga,"['Equestrian', 'Trail', 'Fitness', 'Trail', 'Mountain', 'Bike', 'Trail', 'Nature', 'Trail', 'Snow', 'Trail', 'Urban', 'Trail']",9.00 Miles / 14.48 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Dogs - On leash', 'Equestrian - Riding', 'Motorized vehicles - Snowmobiling', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Snow - Snow Play, General', 'Snow - Snowshoeing', 'Wildlife Observation']"
Adventure Hiking,"Harrison-Crawford State, In Harrison-Crawford State Forest, E of Leavenworth above Ohio River.",Indiana,Harrison &amp; Crawford,['Backcountry'],24.00 Miles / 38.62 Km,"['Camping', 'Camping', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation', 'Wildlife Observation']"
Ahnapee State Park Trail,Rural,Wisconsin,,[],12.00 Miles / 19.31 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Camping', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Motorized vehicles - Snowmobiling', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing']"
Alabama Scenic River Trail,"From where the Coosa River enters the state in its northeast sector to Fort Morgan on the Gulf of Mexico, Numerous boat launches the full length of the Coosa and Alabama Rivers the length of Alabama.<br/>",Alabama,Multiple,"['Water', 'Trail', 'National', 'Water', 'Trails', 'System']",631.00 Miles / 1015.50 Km,"['Boating, Motorized', 'Camping', 'Fishing', 'Swimming', 'Swimming - Diving/snorkeling']"
Alamosa South Bluff Trail,"At SE edge of Alamosa NWR, SE of Alamosa airport.",Colorado,Alamosa,['Greenway'],1.10 Miles / 1.77 Km,"['Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Albany Pine Bush Preserve/Kings Highway,"Albany, New York",New York,,[],20.00 Miles / 32.19 Km,"['Camping', 'Equestrian - Riding', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing']"
"Aliso Creek Regional Bikeway, Riding and Hiking Trail","The bikeway begins at El Toro Rd Santiago Canyon below Ridgeline Drive and parallels <br/>
El Toro Road for a short distance then enters the Aliso Creek open Space.",California,Orange County,"['Equestrian', 'Trail', 'Fitness', 'Trail', 'Mountain', 'Bike', 'Trail', 'Nature', 'Trail', 'Urban', 'Trail']",15.00 Miles / 24.14 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Dogs - On leash', 'Equestrian - Riding', 'Heritage and History', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Alum Cove Trail,"Deer, Alum Cove Natural Bridge Recreation Area.",Arkansas,Newton,"['Nature', 'Trail']",1.10 Miles / 1.77 Km,"['Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Anderson Butte,"Nez Perce Forest, Joins Buck Meadows to Flatiron Ridge 4 mi. E of Elk City.",Idaho,Idaho,['Backcountry'],14.80 Miles / 23.82 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Camping', 'Camping', 'Dogs - Mushing', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Motorized vehicles - ATV riding']"
Anderson Woodland,"Suburban, At Kuttawa Rec. Area just N of I-24. [recertified 1989]",Kentucky,Lyon,"['Nature', 'Trail']",2.70 Miles / 4.35 Km,"['Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Swimming']"
Angel of Goliad Trail,City of Goliad,Texas,Goliad County,"['Urban', 'Trail']",2.00 Miles / 3.22 Km,"['Bicycling (on pavement)', 'Pedestrian - Walking/Hiking/Running']"
Ann and Roy Butler Hike &amp; Bike Trail,"On both sides of the lake in downtown Austin, TX, in Austin's Town Lake Park.",Texas,Travis,['Greenway'],10.00 Miles / 16.09 Km,"['Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running']"
Anna Ruby Falls Trail,In Chattahoochee National Forest accessed through Unicoi State Park near Robertstown on State Route 75.,Georgia,White,['Backcountry'],0.50 Miles / 0.80 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation', 'Wildlife Observation']"
Anvil Lake NRT,10 mi. E of Eagle River on SR 70.,Wisconsin,Forest,[],12.00 Miles / 19.31 Km,[]
Apalachicola River Blueway,The Apalachicola River Blueway begins  below the dam in the town of Chattahoochee and flows 107 miles to the Gulf of Mexico.,Florida,"Jackson, Calhoun, Franklin, Gadsden, Liberty, Gulf","['Water', 'Trail']",106.00 Miles / 170.59 Km,"['Boating, Motorized', 'Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking', 'Camping', 'Fishing', 'Heritage and History', 'Hunting', 'Wildlife Observation']"
Ape Cave Trail No. 239,"In the Gifford Pinchot NF, just N of Lava Tubes above the Swift Reservoir Dam.  Access from I-5 on SR 503, Co. Rd. 17, and FS Rds. 90, 83, and 8303.",Washington,Skamania,['Backcountry'],3.50 Miles / 5.63 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running']"
Apple Orchard Falls,Connects to AT and Sunset Field overlook on the Blue Ridge Parkway.,Virginia,,[],3.50 Miles / 5.63 Km,[]
Arcadian Park,"In Lafayette at Acadiana Park, NE of downtown.",Louisiana,,[],3.00 Miles / 4.83 Km,[]
Arivaca Cienega Trail,"On Buenos Aires National Wildlife Refuge. Trailhead is 1/4 mile east of Arivaca, Arizona",Arizona,Pima County,"['Nature', 'Trail']",1.25 Miles / 2.01 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Arkaquah,"Northeast Georgia, In the Chattahoochee National Forest, connects Traprock Gap to Brasstown Bald.",Georgia,Union,['Backcountry'],5.50 Miles / 8.85 Km,"['Camping', 'Camping', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation', 'Wildlife Observation']"
Arrowwood NWR Leg of the Historic Ft. Totten Trail,At Arrowwood NWR W of Kensal on SR 9.,North Dakota,Stutsman,['Backcountry'],9.00 Miles / 14.48 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running']"
Aspen Spring Trail,"Hualapai Mountain Park, Kingman, AZ",Arizona,Mohave,['Backcountry'],10.00 Miles / 16.09 Km,"['Bicycling (off pavement)', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Motorized vehicles - ATV riding', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Snow - Snow Play, General', 'Snow - Snowshoeing', 'Wildlife Observation']"
Aucilla River,"The Aucilla Rivers forms the boundary between Jefferson, Madison, and Taylor Counties in the Big Bend region of North Florida",Florida,"Jefferson, Madison, Taylor","['Water', 'Trail']",50.00 Miles / 80.47 Km,"['Boating, Motorized', 'Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking', 'Camping', 'Fishing', 'Heritage and History', 'Wildlife Observation']"
B-Line Trail,"Begins just east of Adams Street on the north side of Bloomington, Indiana. The B-Line Trail runs south through the heart of downtown to Country Club Drive on Bloomington's south side.",Indiana,Monroe County,"['Fitness', 'Trail', 'Urban', 'Trail']",3.10 Miles / 4.99 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Heritage and History', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Skateboarding']"
Bailey's Woods Trail,"Backcountry nature trail that connects the University of Mississippi Museum to Rowan Oak, William Faulkner's residence in Oxford, MS",Mississippi,MS,"['Backcountry', 'Nature', 'Trail']",0.60 Miles / 0.97 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running']"
Bald Mountain,"rural, In the Uinta National Forest, 20 mi. NE of Provo.",Utah,Summit,['Backcountry'],1.22 Miles / 1.96 Km,"['Dogs - Mushing', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running']"
Baldy Lookout-Lake Trail #340,"12 miles north of Plains, MT.",Montana,Sanders,['Backcountry'],2.96 Miles / 4.76 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Swimming', 'Swimming - Diving/snorkeling', 'Wildlife Observation']"
Baltimore &amp; Annapolis Trail Park,"Anne Arundel County, MD",Maryland,Anne Arundel,"['Greenway', 'Rail', 'Trail', 'Urban', 'Trail']",13.30 Miles / 21.40 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Equestrian - Riding', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Wildlife Observation']"
Baptism Creek,At Hopewell Furnace NHS near Elverson.,Pennsylvania,,[],0.80 Miles / 1.29 Km,[]
Barr,At Manitou Springs W of Colorado Springs on US 24.  Connects to Summit of Pikes Peak.,Colorado,,[],13.00 Miles / 20.92 Km,"['Camping', 'Pedestrian - Walking/Hiking/Running']"
Bartram Trail,"Spans the length of Tuskegee NF, NE of Tuskegee, N of US 80.",Alabama,Bell,['Backcountry'],12.40 Miles / 19.96 Km,['Pedestrian - Walking/Hiking/Running']
Basin Lake,"8 miles west of Red Lodge, MT., In Custer National Forest, 8 mi. W of Red Lodge on West Fork Rock Creek Road.",Montana,Carbon,"['Backcountry', 'Snow', 'Trail']",4.80 Miles / 7.72 Km,"['Camping', 'Camping', 'Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Wildlife Observation', 'Wildlife Observation']"
Bayside,"In San Diego at Cabrillo Nat. Mon., connecting visitor center to Old Point Loma Lighthouse overlooking San Diego Bay.",California,San Diego,[],2.00 Miles / 3.22 Km,['Pedestrian - Walking/Hiking/Running']
Bear Butte Summit Trail,"In Bear Butte SP, 10 mi. NE of Sturgis on SD 79.",South Dakota,Meade,['Backcountry'],3.50 Miles / 5.63 Km,['Pedestrian - Walking/Hiking/Running']
Bear Creek Trail,"SW of Ouray, Colorado.",Colorado,Ouray,['Greenway'],19.00 Miles / 30.58 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Skateboarding', 'Swimming', 'Wildlife Observation']"
Bear Trap Trail,At Madison Dam below Ennis Lake off US 287 S of Three Forks.,Montana,Madison,['Backcountry'],9.00 Miles / 14.48 Km,"['Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Bear Valley,"Salmon Challis National Forest, On Hayden Creek Rd., off State Route 28, 37 mi. from Salmon.",Idaho,Lemhi,['Backcountry'],6.00 Miles / 9.66 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Camping', 'Camping', 'Dogs - Mushing', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Fishing']"
Bearskin State Trail,"Rural, Minoequa.",Wisconsin,,[],18.00 Miles / 28.97 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Dogs - On leash', 'Motorized vehicles - Snowmobiling', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Beaver Creek Water Trail,"In Yukon Flats National Wildlife Refuge, Alaska",Alaska,,"['Backcountry', 'Water', 'Trail']",180.00 Miles / 289.68 Km,"['Boating, Motorized', 'Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking', 'Boating, non-motorized: Rafting', 'Camping', 'Dogs - Mushing', 'Dogs - Off leash', 'Fishing', 'Heritage and History', 'Hunting', 'Motorized vehicles - Snowmobiling', 'Pedestrian - Walking/Hiking/Running', 'Rock Climbing', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Wildlife Observation']"
Belle Isle Bicycle Trail,"In Belle Isle Park, E of downtown Detroit in Detroit River.",Michigan,,[],0.90 Miles / 1.45 Km,[]
Benham Trail,"East Bill Williams Mountain, Just south of Williams on I-40, 2 trails at Bill Williams Mountain.",Arizona,Coconino,['Backcountry'],4.00 Miles / 6.44 Km,"['Bicycling (off pavement)', 'Equestrian - Riding']"
Berg/Animas Trail,"In Berg and Animas Parks in Farmington, New Mexico",New Mexico,San Juan,"['Equestrian', 'Trail', 'Greenway', 'Nature', 'Trail', 'Urban', 'Trail']",4.00 Miles / 6.44 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking', 'Dogs - On leash', 'Equestrian - Riding', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Betty's Kitchen Interpretative,"E of Yuma on Hwy 95, turn N on 7E (Laguna Dam Rd.) 9 mi.",Arizona,,[],0.50 Miles / 0.80 Km,[]
Bicentennial,,Utah,,[],3.20 Miles / 5.15 Km,[]
Big Creek NRT,"Big Creek, ID, S of I-90 at Kellogg, access by Forest Rds 50, 537, and 1907.",Idaho,Shoshone,['Backcountry'],15.60 Miles / 25.11 Km,"['Bicycling (on pavement)', 'Camping', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Motorized vehicles - Motorcycling', 'Pedestrian - Walking/Hiking/Running']"
Big Four Ice Caves Trail,"Mt. Baker-Snoqualmie National Forest; Darrington Ranger District, east of Silverton in the Mt. Baker-Snoqualmie National Forest between Twin Peaks &amp; Vesper Peak.",Washington,Snohomish,"['Nature', 'Trail']",1.00 Miles / 1.61 Km,"['Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Big Hill Pond,At Big Hill Pond State Recreation Area between Pocahontas and Ramer on State Route 57.,Tennessee,,[],8.30 Miles / 13.36 Km,[]
Big Sky Snowmobile,"Big Sky, MT to Bozeman, MT",Montana,Gallatin,"['Snow', 'trail']",55.00 Miles / 88.51 Km,['Motorized vehicles - Snowmobiling']
Big Trees,"Tahoe National Forest, In Tahoe National Forest, S of I-80, E of Georgetown off Mosquito Ridge Rd.",California,,[],1.40 Miles / 2.25 Km,[]
Bill Williams Mountain,"Just S of Williams on I-40, 2 trails at Bill Williams Mountain.",Arizona,Coconino,['Backcountry'],4.00 Miles / 6.44 Km,[]
Binder Winter Park Nordic,,Michigan,,[],4.40 Miles / 7.08 Km,[]
Bizz Johnson Trail,Connects Susanville W and S to Westwood and Mountain Meadows Reservoir.,California,Lassen,[],25.50 Miles / 41.04 Km,[]
Black Cherry Trail,"In the Allegheny NF at Twin Lakes Campground, 4 mi. SE of Kane.",Pennsylvania,Elk,['Backcountry'],1.40 Miles / 2.25 Km,[]
Black Creek System,At Black Creek nature Park on SR 520 between Killibuck and Glenmont.,Ohio,,[],3.00 Miles / 4.83 Km,[]
Black Point,"In Sierra NF at Big Creek.  W of Huntington take Huntington Lake Rd. W to Rd. 8S32, follow 4 mi. to trailhead.",California,Fresno,[],0.60 Miles / 0.97 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running']"
Black Willow Water Trail,"Loyalhanna Lake, Bush Recreation Area",Pennsylvania,Westmoreland,"['Water', 'Trail']",1.80 Miles / 2.90 Km,"['Boating, Motorized', 'Boating, Canoeing', 'Boating, Kayaking', 'Boating, Rafting', 'Dogs - On leash', 'Fishing', 'Swimming', 'Wildlife Observation']"
Blackstone River Bikeway,"Providence, RI to Worcester, MA,  Railtrail/canalway joins Providence, RI, to Worcester, MA.",Rhode Island,Providence,['Greenway'],9.00 Miles / 14.48 Km,"['Boating, Motorized']"
Blackwater Creek,Just north of downtown Lynchburg along Blackwater Creek.,Virginia,,[],8.60 Miles / 13.84 Km,[]
Blackwater Heritage State Trail,"Western Florida from Milton north to Whiting Field, Railtrail from south of Milton on U.S. Highway 90 north and east past Munson Hwy to Whiting Field.<br/>",Florida,Santa Rosa,[],8.10 Miles / 13.04 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating']"
Blue Beaver,At Chick/Chattanooga NMP descends N of Lookout Mountain to Lookout Creek.,Tennessee,,['Backcountry'],10.50 Miles / 16.90 Km,[]
Blue Lake,W of Washington Pass in Okanogan NF on S side of SR 20.,Washington,Okanogan,['Backcountry'],2.20 Miles / 3.54 Km,"['Camping', 'Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running']"
Blue Marsh Lake Multi-Use Trail,NW of Reading off SR 183 at Palisades Drive.,Pennsylvania,Berks County,"['Backcountry', 'Equestrian', 'Trail', 'Mountain', 'Bike', 'Trail', 'Snow', 'Trail']",29.70 Miles / 47.80 Km,"['Bicycling (off pavement)', 'Boating, Motorized', 'Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking', 'Dogs - On leash', 'Equestrian - Riding', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Swimming', 'Wildlife Observation']"
Blue Mountain Nature Trail,20 minutes southwest of Missoula in the Lolo National Forest.,Montana,Missoula,"['Nature', 'Trail']",0.50 Miles / 0.80 Km,"['Dogs - On leash', 'Equestrian - Riding', 'Wildlife Observation']"
Bluebonnet Trail,"Plano, TX",Texas,Collin,"['Greenway', 'Urban', 'Trail']",5.60 Miles / 9.01 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Skateboarding', 'Swimming', 'Wildlife Observation']"
Bluff Trail,Located in the Lookout Mountain unit of Chickamauga and Chattahoochee National Military Park.,"Georgia, Tennessee",,[],4.50 Miles / 7.24 Km,[]
Bootjack Trail,"Rural, north of Golden Gate Bridge.",California,Marin,"['Nature', 'Trail']",2.00 Miles / 3.22 Km,"['Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Boulder Cave,"In Wenatchee National Forest, 41 mi. NW of Yakima on SR 410.",Washington,Yakima,['Backcountry'],0.80 Miles / 1.29 Km,"['Dogs - On leash', 'Caving', 'Pedestrian - Walking/Hiking/Running']"
Boundary Trail,"Rural/Backcountry, In Gifford Pinchot National Forest joins Spirit Lake (near Mt. St. Helens) to Council Lake (near Mt. Adams).",Washington,Okanogan,['Backcountry'],66.40 Miles / 106.86 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Pedestrian - Walking/Hiking/Running']"
Boundary Trail - Kangaroo,Backcountry/Wilderness,California,Siskiyou,['Backcountry'],7.90 Miles / 12.71 Km,"['Dogs - On leash', 'Camping', 'Pedestrian - Walking/Hiking/Running', 'Equestrian - Riding', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Wildlife Observation', 'Camping', 'Bicycling (on pavement)']"
Bridge Rock,15 mi. W of Dardanelle on SR 22.,Arkansas,,[],1.00 Miles / 1.61 Km,"['Camping', 'Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Swimming']"
Bright Angel,"At Grand Canyon National Park, connects Grand Canyon Village to Colorado River.",Arizona,,['Backcountry'],7.80 Miles / 12.55 Km,"['Equestrian - Riding', 'Equestrian - Pack trips', 'Equestrian - Other stock', 'Pedestrian - Walking/Hiking/Running']"
Brownsville Historic Battlefield Trail,"The Historical Battlefield Trail begins at Southern Pacific Linear Park between 6th &amp; 7th East Street, along Ringgold Road in the Brownsville Original Townsite and ends north of Brownsville at Palo Alto Battlefield National Historical Park, site of the fi",Texas,Cameron,"['Urban', 'Trail']",9.00 Miles / 14.48 Km,"['Bicycling (on pavement)', 'Heritage and History', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Wildlife Observation']"
Buckeye,"Greers Ferry Lake, 3 miles north of Herber Springs.",Arkansas,Celburne,"['Nature', 'Trail']",0.40 Miles / 0.64 Km,"['Camping', 'Dogs - On leash', 'Swimming']"
Buckskin Nature Trail,"Rural, On Lake Ouachita at Denby Point Recreation Area, 27 mi. W of Hot Springs.<br/>
<br/>",Arkansas,Montgomery,"['Nature', 'Trail']",0.50 Miles / 0.80 Km,"['Bicycling (off pavement)', 'Camping', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Bull Run - Occoquan Trail,"Bull Run, Hemlock Overlook, Bull Run Marina, and Fountainhead  Regional Parks,  Follows north shore of Occoquon River from Fountainhead Park to Bull Run Regional Park. <br/>",Virginia,Fairfax,['Greenway'],18.00 Miles / 28.97 Km,"['Dogs - On leash', 'Equestrian - Riding', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation', 'Wildlife Observation']"
Bumpass Hell,In Lassen Volcanic National Park between Bumpass Mtn. and Mt. Dillon.,California,Tehama,['Backcountry'],1.50 Miles / 2.41 Km,['Pedestrian - Walking/Hiking/Running']
Burnside Park Nature,"At Burnside Lake Water Park, 5 miles north of Philadelphia.",Mississippi,,[],2.00 Miles / 3.22 Km,[]
Bush Mountain,Begins at Atlanta Outdoor Activity Center southwest of downtown.,Georgia,,[],3.50 Miles / 5.63 Km,[]
Caberfae Way Snowmobile,Joins Cadillac to Mesick through Manistee National Forest.,Michigan,,[],36.00 Miles / 57.94 Km,[]
Calico,"San Juan National Forest, In San Juan National Forest on Forest Rd. 471, 4 mi. from SR 145.",Colorado,"Dolores, Montezuma",['Backcountry'],22.00 Miles / 35.41 Km,"['Bicycling (on pavement)', 'Bicycling (off pavement)', 'Camping', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Equestrian - Pack trips', 'Motorized vehicles - Motorcycling', 'Pedestrian - Walking/Hiking/Running']"
California Junction,urban,Ohio,,[],1.00 Miles / 1.61 Km,"['Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Wildlife Observation', 'Swimming']"
Calumet,Connects Dune Shores to Michigan City along a utility corridor by the southern boundary of Indian Dunes National Lakeshore.,Indiana,,[],9.20 Miles / 14.81 Km,[]
Camp Camfield Nature,"Lake Shelbyville, On N shore of Lake Shelbyville S of Findlay. (Recertified 1993)",Illinois,Moultrie,[],2.20 Miles / 3.54 Km,[]
Campbell Tract Loop Trail,"Anchorage, AK, In east Anchorage, off Abbott Loop Road at east 68th Avenue.",Alaska,Municipality of Anchorage,['Greenway'],3.40 Miles / 5.47 Km,"['Dogs - Mushing', 'Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running']"
Cannell Meadow NRT,"In Sequoia NF, starts at Kernville above Lake Isabella and joins to Pine Flat.",California,Kern/Tulare,['Backcountry'],11.50 Miles / 18.51 Km,"['Camping', 'Fishing', 'Motorized vehicles - Motorcycling', 'Pedestrian - Walking/Hiking/Running']"
Canyon Trail,"At Bosque del Apache National Wildlife Refuge south of Socorro, NM",New Mexico,Socorro,['Backcountry'],2.20 Miles / 3.54 Km,"['Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Caratunk Wildlife Refuge,"Suburban, Just E of providence, RI, N of I-95.",Massachusetts,,[],6.00 Miles / 9.66 Km,[]
Cargill Long Park Trail,"NE of downtown Longview, TX",Texas,Gregg,"['Urban', 'Trail']",3.00 Miles / 4.83 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Roller/Inline Skating', 'Wildlife Observation']"
Carlsbad Caverns,"Underground trails at Carlsbad Caverns NP, SW of Carlsbad.",New Mexico,,[],3.00 Miles / 4.83 Km,[]
Carolino Canyon Nature,Rural/Backcountry,New Mexico,,[],0.25 Miles / 0.40 Km,[]
Carson Trail,"At Rachel Carson National Wildlife Refuge just outside Wells, ME",Maine,York,['Greenway'],1.00 Miles / 1.61 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Wildlife Observation']"
Cascade Springs,"In the Uinta NF, 28 mi. NE of Provo.",Utah,Wasatch,[],0.90 Miles / 1.45 Km,[]
Cascadia Marine Trail,,Washington,"San Juan, Whatcom, Skagit, Island, Snohomish, King, Kitsap, Pierce, Thurston, Mason, Jefferson, Clallam","['Water', 'Trail']",150.00 Miles / 241.40 Km,"['Boating, Motorized', 'Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking', 'Boating, non-motorized: Sailing', 'Camping', 'Wildlife Observation']"
Catoctin Trail (Blue Trail),"The Catoctin Trail runs 26.6 miles along the eastern-most ridge of the Blue Ridge Mountains in Frederick County, Maryland 55 miles northwest of Washington, DC and Baltimore.",Maryland,Frederick,"['Backcountry', 'Mountain', 'Bike', 'Trail']",26.60 Miles / 42.81 Km,"['Bicycling (off pavement)', 'Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking', 'Camping', 'Dogs - On leash', 'Equestrian - Riding', 'Fishing', 'Pedestrian - Walking/Hiking/Running', 'Rock Climbing', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Swimming']"
Catwalk Trail,"Glenwood Ranger District, 6 miles from Glenwood on U.S. Highway 180 in Whitewater Canyon.",New Mexico,Catron,['Backcountry'],1.35 Miles / 2.17 Km,"['Dogs - On leash', 'Fishing', 'Pedestrian - Walking/Hiking/Running']"
Cedar Creek Trail,"17 mi. W of Winthrop on SR 20, E of Rainy Pass off FS Rd. 3630.",Washington,Okanogan,['Backcountry'],9.60 Miles / 15.45 Km,"['Bicycling (off pavement)', 'Camping', 'Pedestrian - Walking/Hiking/Running']"
Cedar Greenbelt,"Suburban, SE Cedar Rapids.",Iowa,Linn,"['Nature', 'Trail']",3.50 Miles / 5.63 Km,"['Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Wildlife Observation']"
Cedar Point Tidelands,"Croatan National Forest, near Cedar Point on State Route 24.",North Carolina,Carteret,"['Urban', 'Trail']",2.00 Miles / 3.22 Km,"['Fishing', 'Pedestrian - Walking/Hiking/Running', 'Swimming', 'Swimming - Diving/snorkeling', 'Wildlife Observation']"
Centennial Trail,Black Hills National Forest,South Dakota,"Meade, Pennington, Custer",['Backcountry'],111.00 Miles / 178.64 Km,"['Bicycling (off pavement)', 'Camping', 'Equestrian - Riding', 'Pedestrian - Walking/Hiking/Running']"
Centennial Trail,"At Pelican Island National Wildlife Refuge, off A1A, north of Wabasso.<br/>",Florida,Indian River,"['Nature', 'Trail']",0.75 Miles / 1.21 Km,['Pedestrian - Walking/Hiking/Running']
Central Canal Towpath,Indianapolis,Indiana,Marion,"['Greenway', 'Urban', 'Trail']",5.23 Miles / 8.42 Km,"['Bicycling (on pavement)', 'Dogs - On leash', 'Pedestrian - Walking/Hiking/Running', 'Snow - Cross-country Skiing', 'Snow - Snowshoeing', 'Wildlife Observation']"
Chattahoochee River NRA Water Trail,"The Chattahoochee River National Recreation Area offers 48 miles of river trail available for raft, canoe, kayak, and motorboat use year round. The trail begins below Buford dam in Forsyth County to the take out at Powers Island/Paces Mill, metro Atlanta,",Georgia,"Cobb, DeKalb, Forsyth, Fulton, Gwinnett","['Water', 'Trail', 'National', 'Water', 'Trails', 'System']",48.00 Miles / 77.25 Km,"['Boating, Motorized', 'Boating, non-motorized: Canoeing', 'Boating, non-motorized: Kayaking', 'Boating, non-motorized: Rafting', 'Fishing', 'Swimming', 'Wildlife Observation']"
